Date,Circle,Division,PSS,Equipment Name,PTR No.,PTR Capacity (MVA),Max Voltage,Time,Min Voltage,Time,Max Loading,Time,Min Loading,Time,Remarks
,,,,, , ,(kV),(hh:mm),(kV),(hh:mm),(Amp),(hh:mm),(Amp),(hh:mm),
16/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.54,15:00:00,0.32,19:00:00, 
16/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
16/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.61,21:00:00,26.6,11:00:00,4.5,13:00:00,4.4,7:00:00, 
16/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,5,0:00:00,0,0:00:00, , , , , 
16/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
17/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , ,37,18:00:00,18,6:00:00, 
17/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , ,22,17:00:00,7,7:00:00, 
17/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , , , , , , 
17/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,63,18:00:00,39,6:00:00, 
17/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
17/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,16,11:00:00,12,3:00:00, 
17/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,17,9:00:00,11,20:00:00, 
17/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,15,10:00:00,12,8:00:00, 
17/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.61,21:00:00,0.35,4:00:00, 
17/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
